Species Name,Formula,Image,¦¤fH¡ã(0K),delta_H(298.15K),Uncertainty,Units,Molecular ,,(Molecular,mass)
Water trimer,(H2O)3 (g),,-762.73,-776.84,¡À 0.21,kJ/mol,54.04584 ¡À,,54.04584 ¡À,0.00099
,,,,,,,0.00099,,,
Methylaminyliumyl,"[CH3N]+ (g, doublet ?)",,1388.3,1382,¡À 2.6,kJ/mol,29.04071 ¡À,,29.04071 ¡À,0.00083
,,,,,,,0.00083,,,
Hydrazoic acid anion,"[HNNN]- (g, cis)",,316.1,310,¡À 2.3,kJ/mol,43.02871 ¡À,,43.02871 ¡À,0.00022
,,,,,,,0.00022,,,
2-Hydroxyethylium,"[CH2CH2OH]+ (g, gauche)",,1024.6,1012.1,¡À 2.0,kJ/mol,45.0600 ¡À,,45.0600 ¡À,0.0017
,,,,,,,0.0017,,,
Isocyanogen bromide anion,[BrNC]- (g),,105,101.8,¡À 4.6,kJ/mol,105.9220 ¡À,,105.9220 ¡À,0.0013
,,,,,,,0.0013,,,
mu-Oxodichlorine cation,[ClOCl]+ (g),,1130.44,1126.83,¡À 0.63,kJ/mol,86.9043 ¡À,,86.9043 ¡À,0.0018
,,,,,,,0.0018,,,
Hydroxyoxoammoniumyl,"[HONO]+ (g, cis)",,1014.8,1008.4,¡À 2.0,kJ/mol,47.01293 ¡À,,47.01293 ¡À,0.00061
,,,,,,,0.00061,,,
Oxonium,"[H3O]+ (g, para)",,605.83,599.08,¡À 0.17,kJ/mol,19.02267 ¡À,,19.02267 ¡À,0.00037
,,,,,,,0.00037,,,
Oxoniumyl ion,"[H2O]+ (g, ortho)",,978.466,975.563,¡À 0.028,kJ/mol,18.01473 ¡À,,18.01473 ¡À,0.00033
,,,,,,,0.00033,,,
Trihydrogen,"H(HH) (g, 2s 2A1' Ry)",,745.878,743.094,¡À 0.062,kJ/mol,3.02382 ¡À,,3.02382 ¡À,0.00021
,,,,,,,0.00021,,,
Trioxodinitrate anion,"[ONN(O)O]- (g, non-vdW)",,-87.3,-93.1,¡À 2.2,kJ/mol,76.01223 ¡À,,76.01223 ¡À,0.00091
,,,,,,,0.00091,,,
Formylimidogen,"HC(O)N (g, singlet)",,245.4,242.2,¡À 3.3,kJ/mol,43.02478 ¡À,,43.02478 ¡À,0.00086
,,,,,,,0.00086,,,
Nitrous acid anion,"[HONO]- (g, trans)",,-105.5,-109.4,¡À 1.8,kJ/mol,47.01403 ¡À,,47.01403 ¡À,0.00061
,,,,,,,0.00061,,,
Carbon monoxide,"CO (g, singlet)",,-113.803,-110.523,¡À 0.026,kJ/mol,28.01010 ¡À,,28.01010 ¡À,0.00085
,,,,,,,0.00085,,,
mu-Oxodichlorate anion,[ClOCl]- (g),,-147.8,-147.7,¡À 2.5,kJ/mol,86.9053 ¡À,,86.9053 ¡À,0.0018
,,,,,,,0.0018,,,
Propylene cation,[CH3CHCH2]+ (g),,975.22,961.69,¡À 0.21,kJ/mol,42.0792 ¡À,,42.0792 ¡À,0.0024
,,,,,,,0.0024,,,
2-Propen-1-ylium-1-ylidene,[CH2CHC]+ (g),,1373.2,1369.6,¡À 2.0,kJ/mol,39.0554 ¡À,,39.0554 ¡À,0.0024
,,,,,,,0.0024,,,
2-Oxo-1-ethylium-1-yl,"[HCC(O)H]+ (g, syn-quartet)",,1292.1,1288.8,¡À 2.6,kJ/mol,42.0361 ¡À,,42.0361 ¡À,0.0016
,,,,,,,0.0016,,,
Acetaldehyde,"CH3CHO (cr,l)",,-187.14,-191.86,¡À 0.32,kJ/mol,44.0526 ¡À,,44.0526 ¡À,0.0017
,,,,,,,0.0017,,,
Cyclopropane cation,[CH2(CH2CH2)]+ (g),,1022.3,1006.8,¡À 1.6,kJ/mol,42.0792 ¡À,,42.0792 ¡À,0.0024
,,,,,,,0.0024,,,
Dihydrogen cation,"[H2]+ (g, para)",,1488.364,1488.48,¡À 0.000,kJ/mol,2.01533 ¡À,,2.01533 ¡À,0.00014
,,,,,,,0.00014,,,
Trioxirane cation,[O(OO)]+ (g),,1444.6,1442.4,¡À 2.2,kJ/mol,47.99765 ¡À,,47.99765 ¡À,0.0009
,,,,,,,0.0009,,,
Tetrabromomethane,"CBr4 (cr, monoclinic)",,,48.7,¡À 1.4,kJ/mol,331.6267 ¡À,,331.6267 ¡À,0.0041
,,,,,,,0.0041,,,
Tetraiodomethane,"CI4 (cr, monoclinic)",,,392.5,¡À 8.0,kJ/mol,519.62858 ¡À,,519.62858 ¡À,0.00081
,,,,,,,0.00081,,,
Bromomethane,CH3Br (l),,-56.6,-59.61,¡À 0.19,kJ/mol,94.9385 ¡À,,94.9385 ¡À,0.0013
,,,,,,,0.0013,,,
Ethynylene,"C2 (g, singlet)",,820.28,826.85,¡À 0.26,kJ/mol,24.0214 ¡À,,24.0214 ¡À,0.0016
,,,,,,,0.0016,,,
Difluorodioxidanium,"[FOOF]+ (g, cis)",,1287.1,1283,¡À 2.3,kJ/mol,69.99506 ¡À,,69.99506 ¡À,0.0006
,,,,,,,0.0006,,,
Fluorine atom,"F (g, 2P3/2)",,77.255,79.04,¡À 0.048,kJ/mol,18.99840320 ¡À,,18.99840320 ¡À,0.0000005
,,,,,,,0.0000005,,,
Dihydrogen,"H2 (g, para)",,0,-0.058,¡À 0.000,kJ/mol,2.01588 ¡À,,2.01588 ¡À,0.00014
,,,,,,,0.00014,,,
Hydrogen fluoride,"HF (aq, 45 H2O)",,,-321.13,¡À 0.16,kJ/mol,20.006343 ¡À,,20.006343 ¡À,0.00007
,,,,,,,0.00007,,,
Ethynylene,"C2 (g, triplet)",,827.5,834.21,¡À 0.26,kJ/mol,24.0214 ¡À,,24.0214 ¡À,0.0016
,,,,,,,0.0016,,,
Trioxygen difluoride,FOOOF (g),,112.2,107.1,¡À 1.1,kJ/mol,85.99501 ¡À,,85.99501 ¡À,0.0009
,,,,,,,0.0009,,,
Acetic acid,"CH3C(O)OH (aq, 500 H2O)",,,-484.89,¡À 0.23,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
"1,2-Propadien-1-ylium-1-yl-3-ylidene",[CCC]+ (g),,1944.7,1952.6,¡À 1.9,kJ/mol,36.0316 ¡À,,36.0316 ¡À,0.0024
,,,,,,,0.0024,,,
Hydrogen peroxide,"H2O2 (g, para)",,-129.48,-135.466,¡À 0.063,kJ/mol,34.01468 ¡À,,34.01468 ¡À,0.00062
,,,,,,,0.00062,,,
Acetic acid,"CH3C(O)OH (aq, 10000 H2O)",,,-484.94,¡À 0.23,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Trihydrogen cation,"[H3]+ (g, para)",,1110.304,1106.697,¡À 0.013,kJ/mol,3.02327 ¡À,,3.02327 ¡À,0.00021
,,,,,,,0.00021,,,
Hydrazoic acid,"HNNN (aq, undissoc)",,,257.57,¡À 0.48,kJ/mol,43.02816 ¡À,,43.02816 ¡À,0.00022
,,,,,,,0.00022,,,
Hydrazoic acid,HNNN (aq),,,272.56,¡À 0.48,kJ/mol,43.02816 ¡À,,43.02816 ¡À,0.00022
,,,,,,,0.00022,,,
Nitrosyl nitrate,"ONONO2 (g, cis-perp)",,60.4,52.5,¡À 1.9,kJ/mol,92.0111 ¡À,,92.0111 ¡À,0.0012
,,,,,,,0.0012,,,
Methyl acetate,CH3C(O)OCH3 (g),,-394.28,-413.15,¡À 0.61,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Hydrogen peroxide cation,"[H2O2]+ (g, trans, ortho)",,897.75,890.77,¡À 0.37,kJ/mol,34.01413 ¡À,,34.01413 ¡À,0.00062
,,,,,,,0.00062,,,
Peroxyhypochlorous acid anion,"[HOOCl]- (g, trans quartet)",,-2.9,-3.3,¡À 2.6,kJ/mol,68.4600 ¡À,,68.4600 ¡À,0.0011
,,,,,,,0.0011,,,
Ammonium hydroxide,"NH4OH (aq, undissoc)",,,-366.716,¡À 0.062,kJ/mol,35.04584 ¡À,,35.04584 ¡À,0.00047
,,,,,,,0.00047,,,
Chlorine atom,"Cl (g, 2P3/2)",,119.621,121.228,¡À 0.0011,kJ/mol,35.45270 ¡À,,35.45270 ¡À,0.0009
,,,,,,,0.0009,,,
2-Chloro ozone,ClO(O)O (g),,265.9,265.3,¡À 3.7,kJ/mol,83.4509 ¡À,,83.4509 ¡À,0.0013
,,,,,,,0.0013,,,
1-Methylethenylium,[CH3CCH2]+ (g),,995.2,986,¡À 2.0,kJ/mol,41.0713 ¡À,,41.0713 ¡À,0.0024
,,,,,,,0.0024,,,
Oxygen atom pentacation,[O]+5 (g),,28708.788,28710.646,¡À 0.053,kJ/mol,15.99666 ¡À,,15.99666 ¡À,0.0003
,,,,,,,0.0003,,,
Ethyl bromide,CH3CH2Br (l),,-55.8,-91.33,¡À 0.26,kJ/mol,108.9651 ¡À,,108.9651 ¡À,0.0019
,,,,,,,0.0019,,,
Hydroxylamine,NH2OH (g),,-33.23,-43.6,¡À 0.46,kJ/mol,33.02996 ¡À,,33.02996 ¡À,0.00037
,,,,,,,0.00037,,,
1-Methylethenyl anion,[CH3CCH2]- (g),,199.4,188.2,¡À 2.0,kJ/mol,41.0723 ¡À,,41.0723 ¡À,0.0024
,,,,,,,0.0024,,,
Fluorosyl fluoride,"FFO (g, singlet)",,227,225,¡À 21.,kJ/mol,53.99621 ¡À,,53.99621 ¡À,0.0003
,,,,,,,0.0003,,,
Vinyl iodide,CH2CHI (g),,139.5,130.6,¡À 1.2,kJ/mol,153.9497 ¡À,,153.9497 ¡À,0.0016
,,,,,,,0.0016,,,
Iodine atom,"I (g, 2P1/2)",,198.109,197.709,¡À 0.0021,kJ/mol,126.904470 ¡À,,126.904470 ¡À,0.00003
,,,,,,,0.00003,,,
Nitrogen atom,"N (g, quartet)",,470.579,472.442,¡À 0.024,kJ/mol,14.006740 ¡À,,14.006740 ¡À,0.00007
,,,,,,,0.00007,,,
Diatomic bromine cation,[Br2]+ (g),,1060.32,1045.36,¡À 0.23,kJ/mol,159.8075 ¡À,,159.8075 ¡À,0.002
,,,,,,,0.002,,,
Trihydrogen,"(H)(HH) (g, vdW)",,215.9,218.3,¡À 1.1,kJ/mol,3.02382 ¡À,,3.02382 ¡À,0.00021
,,,,,,,0.00021,,,
Difluorovinylidene cation,[CCF2]+ (g),,1181.5,1183,¡À 2.3,kJ/mol,62.0177 ¡À,,62.0177 ¡À,0.0016
,,,,,,,0.0016,,,
Methylene,CH2 (g),,391.068,391.625,¡À 0.098,kJ/mol,14.02658 ¡À,,14.02658 ¡À,0.00081
,,,,,,,0.00081,,,
Oxygen atom tetracation,[O]+4 (g),,17719.207,17721.064,¡À 0.025,kJ/mol,15.99721 ¡À,,15.99721 ¡À,0.0003
,,,,,,,0.0003,,,
Oxoethylidene anion,"[HCC(O)H]- (g, syn-gauche)",,92.4,89.1,¡À 2.5,kJ/mol,42.0372 ¡À,,42.0372 ¡À,0.0016
,,,,,,,0.0016,,,
Dihydrogen anion,[H2]- (g),,253.8,254.7,¡À 1.2,kJ/mol,2.01643 ¡À,,2.01643 ¡À,0.00014
,,,,,,,0.00014,,,
Dioxaziridine,HN(OO) (g),,277.3,270.6,¡À 2.0,kJ/mol,47.01348 ¡À,,47.01348 ¡À,0.00061
,,,,,,,0.00061,,,
Methyl formate,HC(O)OCH3 (g),,-346.78,-359.82,¡À 0.87,kJ/mol,60.0520 ¡À,,60.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Tribromide,[Br3]- (aq),,,-129.54,¡À 0.25,kJ/mol,239.7125 ¡À,,239.7125 ¡À,0.003
,,,,,,,0.003,,,
Chloro(chlorooxy)methylene,"ClCOCl (g, trans triplet)",,101.1,104.7,¡À 4.8,kJ/mol,98.9155 ¡À,,98.9155 ¡À,0.002
,,,,,,,0.002,,,
Nitrosyl nitrite anion,"[ONONO]- (g, t, c)",,-100.3,-103.5,¡À 2.9,kJ/mol,76.01223 ¡À,,76.01223 ¡À,0.00091
,,,,,,,0.00091,,,
Ethyl formate,HC(O)OCH2CH3 (g),,-375.1,-393.7,¡À 1.2,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Iodine monochloride,ICl (l),,,-24.048,¡À 0.063,kJ/mol,162.35717 ¡À,,162.35717 ¡À,0.0009
,,,,,,,0.0009,,,
Tribromine cation,[Br3]+ (g),,1035.9,1013.2,¡À 2.6,kJ/mol,239.7115 ¡À,,239.7115 ¡À,0.003
,,,,,,,0.003,,,
Tetroxidane,HOOOOH (g),,-34.2,-44.6,¡À 2.4,kJ/mol,66.0135 ¡À,,66.0135 ¡À,0.0012
,,,,,,,0.0012,,,
Hydroxylamine,"NH2OH (cr,l)",,,-107.61,¡À 0.63,kJ/mol,33.02996 ¡À,,33.02996 ¡À,0.00037
,,,,,,,0.00037,,,
Polyoxymethylene,"CH2O (cr, polyoxymethylene)",,,-170.88,¡À 0.21,kJ/mol,30.02598 ¡À,,30.02598 ¡À,0.00087
,,,,,,,0.00087,,,
Cyclopentadiene,CH2(CHCHCHCH) (l),,,109.8,¡À 0.58,kJ/mol,66.1011 ¡À,,66.1011 ¡À,0.004
,,,,,,,0.004,,,
"Hypochloroperoxoous acid, hydroxy ester","HOOOCl (g, anti)",,49.5,42.5,¡À 2.5,kJ/mol,84.4588 ¡À,,84.4588 ¡À,0.0013
,,,,,,,0.0013,,,
Oxygen atom heptacation,[O]+7 (g),,113369.48,113371.34,¡À 0.12,kJ/mol,15.99556 ¡À,,15.99556 ¡À,0.0003
,,,,,,,0.0003,,,
Carbon suboxide,"OCCCO (cr,l)",,-131.7,-116.6,¡À 1.3,kJ/mol,68.0309 ¡À,,68.0309 ¡À,0.0025
,,,,,,,0.0025,,,
Acetoxy,"CH3C(O)O (g, 2A"")",,-182.7,-191.5,¡À 1.2,kJ/mol,59.0440 ¡À,,59.0440 ¡À,0.0017
,,,,,,,0.0017,,,
1-Propenylium,"[CH3CHCH]+ (g, trans)",,1233.8,1223.4,¡À 2.0,kJ/mol,41.0713 ¡À,,41.0713 ¡À,0.0024
,,,,,,,0.0024,,,
Difluorine cation,[F2]+ (g),,1514.301,1514.475,¡À 0.013,kJ/mol,37.9962578 ¡À,,37.9962578 ¡À,0.000001
,,,,,,,0.000001,,,
Formaldehyde,CH2O (aq),,,-171.19,¡À 0.59,kJ/mol,30.02598 ¡À,,30.02598 ¡À,0.00087
,,,,,,,0.00087,,,
1-Propenylide,"[CH3CHCH]- (g, trans)",,210.5,199.4,¡À 2.1,kJ/mol,41.0723 ¡À,,41.0723 ¡À,0.0024
,,,,,,,0.0024,,,
Acetoxy,CH3C(O)O (g),,-182.7,-191.4,¡À 1.2,kJ/mol,59.0440 ¡À,,59.0440 ¡À,0.0017
,,,,,,,0.0017,,,
Oxygen atom dication,[O]+2 (g),,4949.459,4953,¡À 0.013,kJ/mol,15.99830 ¡À,,15.99830 ¡À,0.0003
,,,,,,,0.0003,,,
Dioxofluorine cation,[OFO]+ (g),,1667,1664.8,¡À 2.8,kJ/mol,50.99665 ¡À,,50.99665 ¡À,0.0006
,,,,,,,0.0006,,,
m-Benzyne,"C6H4 (g, triplet)",,614.6,605.2,¡À 1.4,kJ/mol,76.0960 ¡À,,76.0960 ¡À,0.0048
,,,,,,,0.0048,,,
1-Propen-1-yl-3-ylidene,"CHCHCH (g, quartet)",,657.4,654,¡À 1.5,kJ/mol,39.0559 ¡À,,39.0559 ¡À,0.0024
,,,,,,,0.0024,,,
Water,H2O (cr),,-286.302,-292.743,¡À 0.027,kJ/mol,18.01528 ¡À,,18.01528 ¡À,0.00033
,,,,,,,0.00033,,,
Hydrogen iodide,HI (aq),,,-56.826,¡À 0.090,kJ/mol,127.912410 ¡À,,127.912410 ¡À,0.000076
,,,,,,,0.000076,,,
Oxygen atom octacation,[O]+8 (g),,197447.75,197449.6,¡À 0.12,kJ/mol,15.99501 ¡À,,15.99501 ¡À,0.0003
,,,,,,,0.0003,,,
Chlorine trifluoride cation,[FCl(F)F]+ (g),,1053.4,1049.1,¡À 2.4,kJ/mol,92.44736 ¡À,,92.44736 ¡À,0.0009
,,,,,,,0.0009,,,
iso-Hexane,"CH3CH2CH2CH(CH3)2 (cr,l)",,-180.36,-204.02,¡À 0.83,kJ/mol,86.1754 ¡À,,86.1754 ¡À,0.0049
,,,,,,,0.0049,,,
Tropylide,[CH(CHCHCHCHCHCH)]- (g),,260.9,244.6,¡À 2.0,kJ/mol,91.1310 ¡À,,91.1310 ¡À,0.0056
,,,,,,,0.0056,,,
Propionic acid,CH3CH2C(O)OH (g),,-436.42,-454.31,¡À 0.60,kJ/mol,74.0785 ¡À,,74.0785 ¡À,0.0025
,,,,,,,0.0025,,,
Deuterium molecule cation,[D2]+ (g),,1492.286,1492.361,¡À 0.000,kJ/mol,4.02765497609 ¡À,,4.02765497609 ¡À,8.00E-10
,,,,,,,8.00E-10,,,
Deuteride,D- (g),,146.991,148.904,¡À 0.0021,kJ/mol,2.01465035791 ¡À,,2.01465035791 ¡À,4.00E-10
,,,,,,,4.00E-10,,,
sec-Butylium,[CH3CH2CHCH3]+ (g),,792.8,769.2,¡À 1.7,kJ/mol,57.1137 ¡À,,57.1137 ¡À,0.0033
,,,,,,,0.0033,,,
Hydroxymethylene,HCOH (g),,112.67,108.92,¡À 0.28,kJ/mol,30.02598 ¡À,,30.02598 ¡À,0.00087
,,,,,,,0.00087,,,
Dioxofluorine anion,[OFO]- (g),,155.9,154.3,¡À 2.5,kJ/mol,50.99775 ¡À,,50.99775 ¡À,0.0006
,,,,,,,0.0006,,,
Peroxyformate,"[HC(O)OO]- (g, anti)",,-320.7,-326.5,¡À 1.8,kJ/mol,61.0174 ¡À,,61.0174 ¡À,0.0012
,,,,,,,0.0012,,,
"Bicyclo[1.1.0]buta-1,3-dien-4-ylium-2-yl",[C(CC)C]+ (g),,2087.4,2097.2,¡À 2.7,kJ/mol,48.0423 ¡À,,48.0423 ¡À,0.0032
,,,,,,,0.0032,,,
"Bicyclo[1.1.0]buta-1,3-dien-2-yl anion",[C(CC)C]- (g),,803.7,811.3,¡À 2.1,kJ/mol,48.0433 ¡À,,48.0433 ¡À,0.0032
,,,,,,,0.0032,,,
Peroxyformyl,"HC(O)OO (g, anti)",,-90.5,-95.9,¡À 1.8,kJ/mol,61.0168 ¡À,,61.0168 ¡À,0.0012
,,,,,,,0.0012,,,
"1,3-Butadiyn-4-ylium-1-yl",[CCCC]+ (g),,2109.9,2120.5,¡À 2.9,kJ/mol,48.0423 ¡À,,48.0423 ¡À,0.0032
,,,,,,,0.0032,,,
Peroxyhypochlorous acid cation,"[HOOCl]+ (g, cis)",,1050.8,1045.1,¡À 2.5,kJ/mol,68.4589 ¡À,,68.4589 ¡À,0.0011
,,,,,,,0.0011,,,
"1,3-Butadiynyl anion",[CCCC]- (g),,677.7,686.8,¡À 1.2,kJ/mol,48.0433 ¡À,,48.0433 ¡À,0.0032
,,,,,,,0.0032,,,
Oxygen atom trication,[O]+3 (g),,10249.929,10252.88,¡À 0.018,kJ/mol,15.99775 ¡À,,15.99775 ¡À,0.0003
,,,,,,,0.0003,,,
Hydrazine monohydrate,(NH2NH2)(H2O) (l),,,-242.67,¡À 0.19,kJ/mol,50.06052 ¡À,,50.06052 ¡À,0.00053
,,,,,,,0.00053,,,
Tetraoxodinitrate anion,[O2NNO2]- (g),,-184.6,-187.8,¡À 2.4,kJ/mol,92.0116 ¡À,,92.0116 ¡À,0.0012
,,,,,,,0.0012,,,
Hydrogen peroxide cation,"[H2O2]+ (g, cis, para)",,931.41,924.55,¡À 0.94,kJ/mol,34.01413 ¡À,,34.01413 ¡À,0.00062
,,,,,,,0.00062,,,
"1,2-Dibromoethane","CH2BrCH2Br (cr,l)",,,-80.3,¡À 1.2,kJ/mol,187.8612 ¡À,,187.8612 ¡À,0.0026
,,,,,,,0.0026,,,
Bromodioxy,BrOO (g),,118.1,109.1,¡À 4.3,kJ/mol,111.9028 ¡À,,111.9028 ¡À,0.0012
,,,,,,,0.0012,,,
"1,3-Butadien-2-ol","CH2C(OH)CHCH2 (g, s-cis, syn)",,-43.1,-59.6,¡À 2.3,kJ/mol,70.0898 ¡À,,70.0898 ¡À,0.0032
,,,,,,,0.0032,,,
"1,3-Butadien-2-ol","CH2C(OH)CHCH2 (g, s-trans)",,-53.8,-69.1,¡À 1.6,kJ/mol,70.0898 ¡À,,70.0898 ¡À,0.0032
,,,,,,,0.0032,,,
Isocyanogen cation,[CNCN]+ (g),,1653.1,1655.4,¡À 1.6,kJ/mol,52.0343 ¡À,,52.0343 ¡À,0.0016
,,,,,,,0.0016,,,
Acrolein,CH2CHCHO (g),,-55.3,-65.4,¡À 1.2,kJ/mol,56.0633 ¡À,,56.0633 ¡À,0.0024
,,,,,,,0.0024,,,
"1,2-Propadien-1-one cation",[CH2CCO]+ (g),,1012.6,1011.2,¡À 1.9,kJ/mol,54.0468 ¡À,,54.0468 ¡À,0.0024
,,,,,,,0.0024,,,
2-Propynal cation,[CHCCHO]+ (g),,1168.3,1167.2,¡À 1.6,kJ/mol,54.0468 ¡À,,54.0468 ¡À,0.0024
,,,,,,,0.0024,,,
Ethenedione anion,[OCCO]- (g),,-148.1,-145.6,¡À 2.9,kJ/mol,56.0207 ¡À,,56.0207 ¡À,0.0017
,,,,,,,0.0017,,,
Diisocyanogen cation,"[CNNC]+ (g, cis)",,1838.4,1842.3,¡À 3.1,kJ/mol,52.0343 ¡À,,52.0343 ¡À,0.0016
,,,,,,,0.0016,,,
Dichloromethylene,CCl2 (g),,229.49,230.67,¡À 0.64,kJ/mol,82.9161 ¡À,,82.9161 ¡À,0.002
,,,,,,,0.002,,,
Vinyl alcohol cation,[CH2CHOH]+ (g),,778.8,767.9,¡À 1.4,kJ/mol,44.0520 ¡À,,44.0520 ¡À,0.0017
,,,,,,,0.0017,,,
Chlorous acid anion,[HOClO]- (g),,-154.3,-156.2,¡À 3.3,kJ/mol,68.4600 ¡À,,68.4600 ¡À,0.0011
,,,,,,,0.0011,,,
Hydrazoic acid,"HNNN (cr,l)",,,261.44,¡À 0.65,kJ/mol,43.02816 ¡À,,43.02816 ¡À,0.00022
,,,,,,,0.00022,,,
Propylidene anion,[CH3CH2CH]- (g),,300.8,286.6,¡À 3.3,kJ/mol,42.0803 ¡À,,42.0803 ¡À,0.0024
,,,,,,,0.0024,,,
Diazene,"HNNH (g, trans-cis equilib)",,207.1,199.96,¡À 0.44,kJ/mol,30.02936 ¡À,,30.02936 ¡À,0.0002
,,,,,,,0.0002,,,
Oxiranylidene,CH2(CO) (g),,213.5,209.3,¡À 1.4,kJ/mol,42.0367 ¡À,,42.0367 ¡À,0.0016
,,,,,,,0.0016,,,
Fluorosyl fluoride anion,[FFO]- (g),,-147.2,-146.9,¡À 3.0,kJ/mol,53.99675 ¡À,,53.99675 ¡À,0.0003
,,,,,,,0.0003,,,
Peroxyformic acid,HC(O)OOH (g),,-279.35,-288.48,¡À 0.90,kJ/mol,62.0248 ¡À,,62.0248 ¡À,0.0012
,,,,,,,0.0012,,,
Dinitrogen tetraoxide,"O2NNO2 (cr,l)",,-37.86,-27.01,¡À 0.19,kJ/mol,92.0111 ¡À,,92.0111 ¡À,0.0012
,,,,,,,0.0012,,,
Hydrogen cyanide anion,[HCN]- (g),,129.509,129.031,¡À 0.090,kJ/mol,27.02593 ¡À,,27.02593 ¡À,0.00081
,,,,,,,0.00081,,,
Dichlorine cation,[Cl2]+ (g),,1108.287,1108.266,¡À 0.013,kJ/mol,70.9049 ¡À,,70.9049 ¡À,0.0018
,,,,,,,0.0018,,,
mu-Oxodioxodinitrogen,"[ONONO]+ (g, t, t)",,984,981,¡À 3.2,kJ/mol,76.01113 ¡À,,76.01113 ¡À,0.00091
,,,,,,,0.00091,,,
2-Hydroxyethylium,[CH2CH2OH]+ (g),,1019.2,1007.1,¡À 1.6,kJ/mol,45.0600 ¡À,,45.0600 ¡À,0.0017
,,,,,,,0.0017,,,
Methylaminyliumyl,[CH3N]+ (g ?),,1388.3,1382,¡À 2.6,kJ/mol,29.04071 ¡À,,29.04071 ¡À,0.00083
,,,,,,,0.00083,,,
Tetraoxidanyl,"HOOOO (g, trans)",,76.7,69.5,¡À 6.1,kJ/mol,65.0055 ¡À,,65.0055 ¡À,0.0012
,,,,,,,0.0012,,,
Ethane anion,[CH3CH3]- (g),,41.9,26.6,¡À 4.4,kJ/mol,30.0696 ¡À,,30.0696 ¡À,0.0017
,,,,,,,0.0017,,,
Hydrogen peroxide,H2O2 (aq),,,-190.76,¡À 0.30,kJ/mol,34.01468 ¡À,,34.01468 ¡À,0.00062
,,,,,,,0.00062,,,
Dioxohydrazine,ONNO (g),,172.89,171.13,¡À 0.14,kJ/mol,60.01228 ¡À,,60.01228 ¡À,0.00062
,,,,,,,0.00062,,,
Hydrogen peroxide cation,[H2O2]+ (g),,897.75,890.77,¡À 0.37,kJ/mol,34.01413 ¡À,,34.01413 ¡À,0.00062
,,,,,,,0.00062,,,
Nitrogen sesquioxide cation,"[ONN(O)O]+ (g, vdW)",,1027.6,1023.7,¡À 4.8,kJ/mol,76.01113 ¡À,,76.01113 ¡À,0.00091
,,,,,,,0.00091,,,
Ethoxyethene,"CH2CHOCH2CH3 (g, cis-perp)",,-110.9,-134.7,¡À 2.3,kJ/mol,72.1057 ¡À,,72.1057 ¡À,0.0033
,,,,,,,0.0033,,,
Hydrodioxonitrogen cation,[HN(O)O]+ (g),,1129.7,1123,¡À 3.2,kJ/mol,47.01293 ¡À,,47.01293 ¡À,0.00061
,,,,,,,0.00061,,,
Chlorine pentafluoride cation,[FCl(F)(F)(F)F]+ (g),,1005.8,996.8,¡À 3.3,kJ/mol,130.44417 ¡À,,130.44417 ¡À,0.0009
,,,,,,,0.0009,,,
Propynylidene,"HCCCH (g, singlet)",,597.6,599.4,¡À 1.3,kJ/mol,38.0480 ¡À,,38.0480 ¡À,0.0024
,,,,,,,0.0024,,,
Trioxygen difluoride,"FOOOF (g, cis)",,113.4,107.6,¡À 2.1,kJ/mol,85.99501 ¡À,,85.99501 ¡À,0.0009
,,,,,,,0.0009,,,
Diisocyanogen anion,[CNNC]- (g),,456.6,462.3,¡À 3.6,kJ/mol,52.0354 ¡À,,52.0354 ¡À,0.0016
,,,,,,,0.0016,,,
Hydrogen isocyanide anion,[HNC]- (g),,191.54,191.72,¡À 0.37,kJ/mol,27.02593 ¡À,,27.02593 ¡À,0.00081
,,,,,,,0.00081,,,
Hydrogen peroxide,"H2O2 (g, ortho)",,-129.46,-135.466,¡À 0.063,kJ/mol,34.01468 ¡À,,34.01468 ¡À,0.00062
,,,,,,,0.00062,,,
Isoformyl anion,[COH]- (g),,55.7,58.4,¡À 1.8,kJ/mol,29.01859 ¡À,,29.01859 ¡À,0.00086
,,,,,,,0.00086,,,
Nitrogen atom anion,N- (g),,487.6,489.9,¡À 2.5,kJ/mol,14.007289 ¡À,,14.007289 ¡À,0.00007
,,,,,,,0.00007,,,
Imidogen,"NH (g, triplet)",,358.75,358.79,¡À 0.17,kJ/mol,15.014680 ¡À,,15.014680 ¡À,0.000099
,,,,,,,0.000099,,,
Chloromethylene,CHCl (g),,320.26,320.55,¡À 0.89,kJ/mol,48.4713 ¡À,,48.4713 ¡À,0.0012
,,,,,,,0.0012,,,
Ethoxyethene,"CH2CHOCH2CH3 (g, trans-trans)",,-110.4,-132.5,¡À 2.7,kJ/mol,72.1057 ¡À,,72.1057 ¡À,0.0033
,,,,,,,0.0033,,,
Ethoxyethene,"CH2CHOCH2CH3 (g, trans-perp)",,-108.3,-131.5,¡À 2.3,kJ/mol,72.1057 ¡À,,72.1057 ¡À,0.0033
,,,,,,,0.0033,,,
